timestamp,rr,sr,cnt,mrt,tc
1611936120,100.0,100.0,57,203.35,ServiceTest5
1611936120,100.0,100.0,67,269.73,ServiceTest11
1611936120,100.0,100.0,56,201.5,ServiceTest9
1611936120,100.0,100.0,61,425.52,ServiceTest7
1611936120,100.0,100.0,54,218.56,ServiceTest10
1611936120,100.0,100.0,54,302.5,ServiceTest6
1611936120,100.0,100.0,75,266.24,ServiceTest1
1611936120,100.0,100.0,63,227.44,ServiceTest8
1611936120,100.0,100.0,50,319.5,ServiceTest2
1611936120,100.0,100.0,43,377.56,ServiceTest3
1611936120,100.0,100.0,51,652.53,ServiceTest4
1611936180,100.0,100.0,64,242.23,ServiceTest1
1611936180,100.0,100.0,52,147.81,ServiceTest10
1611936180,100.0,100.0,53,231.72,ServiceTest2
1611936180,100.0,100.0,69,317.52,ServiceTest11
1611936180,100.0,100.0,65,160.48,ServiceTest5
1611936180,100.0,100.0,46,302.26,ServiceTest9
1611936180,100.0,100.0,68,296.34,ServiceTest6
1611936180,100.0,100.0,61,236.67,ServiceTest8
1611936180,100.0,100.0,59,650.98,ServiceTest4
1611936180,100.0,100.0,62,137.87,ServiceTest3
1611936180,100.0,100.0,63,384.92,ServiceTest7
1611936240,100.0,100.0,67,158.94,ServiceTest1
1611936240,100.0,100.0,58,151.83,ServiceTest10
1611936240,100.0,100.0,60,326.73,ServiceTest7
1611936240,100.0,100.0,65,87.85,ServiceTest5
1611936240,100.0,100.0,63,249.62,ServiceTest8
1611936240,100.0,100.0,50,183.94,ServiceTest9
1611936240,100.0,100.0,69,293.22,ServiceTest11
1611936240,100.0,100.0,68,259.0,ServiceTest3
1611936240,100.0,100.0,64,201.56,ServiceTest6
1611936240,100.0,100.0,70,356.43,ServiceTest2
1611936240,100.0,100.0,44,638.0,ServiceTest4
1611936300,100.0,100.0,84,248.86,ServiceTest2
1611936300,100.0,100.0,66,241.18,ServiceTest9
1611936300,100.0,100.0,59,322.9,ServiceTest6
1611936300,100.0,100.0,68,243.47,ServiceTest3
1611936300,100.0,100.0,65,258.85,ServiceTest8
1611936300,100.0,100.0,73,202.26,ServiceTest1
1611936300,100.0,100.0,80,206.0,ServiceTest11
1611936300,100.0,100.0,35,681.6,ServiceTest4
1611936300,100.0,100.0,57,317.7,ServiceTest7
1611936300,100.0,100.0,62,278.58,ServiceTest5
1611936300,100.0,100.0,62,178.73,ServiceTest10
1611936360,100.0,100.0,67,140.03,ServiceTest1
1611936360,100.0,100.0,84,266.99,ServiceTest9
1611936360,100.0,100.0,69,638.51,ServiceTest4
1611936360,100.0,100.0,63,167.6,ServiceTest5
1611936360,100.0,100.0,81,436.0,ServiceTest2
1611936360,100.0,100.0,74,394.51,ServiceTest11
1611936360,100.0,100.0,79,185.15,ServiceTest3
1611936360,100.0,100.0,62,460.5,ServiceTest6
1611936360,100.0,100.0,61,471.2,ServiceTest7
1611936360,100.0,100.0,59,195.78,ServiceTest10
1611936360,100.0,100.0,66,460.27,ServiceTest8
1611936420,100.0,100.0,63,280.81,ServiceTest3
1611936420,100.0,100.0,62,301.55,ServiceTest6
1611936420,100.0,100.0,76,363.78,ServiceTest11
1611936420,100.0,100.0,76,204.16,ServiceTest5
1611936420,100.0,100.0,91,303.14,ServiceTest9
1611936420,100.0,100.0,79,363.2,ServiceTest2
1611936420,100.0,100.0,67,718.67,ServiceTest4
1611936420,100.0,100.0,50,292.0,ServiceTest1
1611936420,100.0,100.0,79,423.62,ServiceTest8
1611936420,100.0,100.0,76,190.12,ServiceTest10
1611936420,100.0,100.0,73,363.25,ServiceTest7
1611936480,100.0,100.0,75,310.84,ServiceTest2
1611936480,100.0,100.0,80,264.7,ServiceTest10
1611936480,100.0,100.0,75,240.52,ServiceTest5
1611936480,100.0,100.0,90,322.78,ServiceTest8
1611936480,100.0,100.0,64,301.12,ServiceTest6
1611936480,100.0,100.0,84,411.62,ServiceTest7
1611936480,100.0,100.0,56,888.39,ServiceTest4
1611936480,100.0,100.0,61,247.75,ServiceTest3
1611936480,100.0,100.0,89,254.9,ServiceTest9
1611936480,100.0,100.0,62,260.0,ServiceTest11
1611936480,100.0,100.0,54,226.0,ServiceTest1
1611936540,100.0,100.0,86,260.56,ServiceTest2
1611936540,100.0,100.0,73,249.55,ServiceTest10
1611936540,100.0,100.0,66,478.06,ServiceTest7
1611936540,100.0,100.0,51,359.76,ServiceTest6
1611936540,100.0,100.0,56,287.98,ServiceTest5
1611936540,100.0,100.0,61,141.33,ServiceTest1
1611936540,100.0,100.0,82,236.13,ServiceTest8
1611936540,100.0,100.0,74,405.14,ServiceTest11
1611936540,100.0,100.0,86,282.28,ServiceTest9
1611936540,100.0,100.0,59,941.14,ServiceTest4
1611936540,100.0,100.0,59,169.69,ServiceTest3
1611936600,100.0,100.0,73,428.7,ServiceTest2
1611936600,100.0,100.0,59,341.0,ServiceTest8
1611936600,100.0,100.0,59,299.0,ServiceTest3
1611936600,100.0,100.0,79,218.37,ServiceTest10
1611936600,100.0,100.0,69,115.67,ServiceTest1
1611936600,100.0,100.0,41,736.05,ServiceTest4
1611936600,100.0,100.0,69,311.04,ServiceTest9
1611936600,100.0,100.0,72,456.89,ServiceTest7
1611936600,100.0,100.0,75,330.88,ServiceTest6
1611936600,100.0,100.0,96,272.9,ServiceTest11
1611936600,100.0,100.0,71,253.13,ServiceTest5
1611936660,100.0,100.0,79,245.3,ServiceTest10
1611936660,100.0,100.0,81,231.25,ServiceTest9
1611936660,100.0,100.0,69,179.06,ServiceTest1
1611936660,100.0,100.0,78,380.37,ServiceTest7
1611936660,100.0,100.0,67,242.12,ServiceTest2
1611936660,100.0,100.0,52,316.0,ServiceTest8
